uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Mitral Stenosis,,Misc,N/A,Mitral Stenosis,,,,,,,,,,,
,Mobile,,Misc,N/A,Mobile,,,,,,,,,,,
,Moderate,,Misc,N/A,Moderate,,,,,,,,,,,
,Moderate Exacerbation,,Misc,N/A,Moderate Exacerbation,,,,,,,,,,,
,Modified Radical Mastectomy,,Procedure,N/A,MRM,,,,,,,,,,,
,Mostly,,Misc,N/A,Mostly,,,,,,,,,,,
,Mouth ulcer,,Misc,N/A,,,,,,,,,,,,
,Mucous Plug,,Misc,N/A,Mucous plug,,,,,,,,,,,
,Multibacillary Leprosy,,Misc,N/A,MB,,,,,,,,,,,
,MX Metastatic Stage,,Misc,N/A,MX,,,,,,,,,,,
,Myocardiac Infarction,,Misc,N/A,Myocardiac infarction,,,,,,,,,,,
,N/V/D/C,,Misc,N/A,,,,,,,,,,,,
,N0 Lymph Node Stage,,Misc,N/A,N0,,,,,,,,,,,
,N1 Lymph Node Stage,,Misc,N/A,N1,,,,,,,,,,,
,N2 Lymph Node Stage,,Misc,N/A,N2,,,,,,,,,,,
,N3 Lymph Node Stage,,Misc,N/A,N3,,,,,,,,,,,
,Nasal flaring,,Misc,N/A,,,,,,,,,,,,
,Nausea,,Misc,N/A,Nausea,,,,,,,,,,,
,Negative,,Misc,N/A,,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,,,,,,,,,,,
,Nephrectomy,,Procedure,N/A,,,,,,,,,,,,
,Nephrolithotomy,,Procedure,N/A,,,,,,,,,,,,
,Nephrostomy,,Procedure,N/A,,,,,,,,,,,,
,Nephrotomy,,Procedure,N/A,,,,,,,,,,,,
,Neuropathy,,Misc,N/A,Neuropathy,,,,,,,,,,,
,Never Had Problems,,Misc,N/A,N,,,,,,,,,,,
,New Diagnosis,,Misc,N/A,New,,,,,,,,,,,
,Night Sweats,,Misc,N/A,Night Sweats,,,,,,,,,,,
,Nil,,Misc,N/A,Nil,,,,,,,,,,,
,Nipple Discharge,,Misc,N/A,,,,,,,,,,,,
,Nitroglycerin,,Misc,N/A,Nitroglycerin,,,,,,,,,,,
,no change in medicine,,Misc,N/A,no change in medicine,,,,,,,,,,,
,No Pain,,Misc,N/A,No Pain,,,,,,,,,,,
,No Previous Diagnosis,,Misc,N/A,No Previous Diagnosis,,,,,,,,,,,
,Nocturia,,Misc,N/A,Nocturia,,,,,,,,,,,
,Nodular,,Misc,N/A,Nodular,,,,,,,,,,,
,Nodules,,Misc,N/A,,,,,,,,,,,,
,Non SBA Health worker,,Misc,N/A,Non SBA,,,,,,,,,,,
,Non-Metastatic,,Misc,N/A,Non-Metastatic,,,,,,,,,,,
,None,,Misc,N/A,,,,,,,,,,,,
,None / Sedentary,,Misc,N/A,None / Sedentary,,,,,,,,,,,
,Normal,,Misc,N/A,,,,,,,,,,,,
,Normal Blood Pressure,,Misc,N/A,Normal Blood Pressure,,,,,,,,,,,
,Normal weight,,Misc,N/A,,,,,,,,,,,,
,Nosal discharge,,Misc,N/A,,,,,,,,,,,,
,Not Applicable,,Misc,N/A,Not Applicable,,,,,,,,,,,
,Not at all,,Misc,N/A,,,,,,,,,,,,
,Not Complete,,Misc,N/A,Not Complete,,,,,,,,,,,
,Not determined,,Misc,N/A,Not determined,,,,,,,,,,,
,Not effective,,Misc,N/A,,,,,,,,,,,,
,Not effectively,,Misc,N/A,,,,,,,,,,,,
,Not in Good Condition,,Misc,N/A,Not in Good Condition,,,,,,,,,,,
,Not well,,Misc,N/A,,,,,,,,,,,,
,NSAID,,Misc,N/A,NSAID,,,,,,,,,,,
,Numbness,,Misc,N/A,Numbness,,,,,,,,,,,
,Numbness of Fingers,,Misc,N/A,Numbness of Fingers,,,,,,,,,,,
,NX Lymph Node Stage,,Misc,N/A,NX,,,,,,,,,,,
,Obesity,,Misc,N/A,Obesity,,,,,,,,,,,
,Obesity And Weight Gain,,Misc,N/A,Obesity And Weight Gain,,,,,,,,,,,
,Obstructive Sleep Apnea,,Misc,N/A,Obstructive Sleep Apnea,,,,,,,,,,,
,On exertion,,Misc,N/A,On exertion,,,,,,,,,,,
,On Treatment,,Misc,N/A,On Treatment,,,,,,,,,,,
,One,,Misc,N/A,One,,,,,,,,,,,
,Oophorectomy,,Procedure,N/A,,,,,,,,,,,,
,Open Biopsy,,Misc,N/A,Open Biopsy,,,,,,,,,,,
,Oral Contraceptives,,Misc,N/A,Oral Contraceptives,,,,,,,,,,,
,Oral Steroid,,Misc,N/A,Oral Steroid,,,,,,,,,,,
,Orchidectomy,,Procedure,N/A,,,,,,,,,,,,
,Orchiopexy,,Procedure,N/A,,,,,,,,,,,,
,Orthopnea,,Misc,N/A,Orthopnea,,,,,,,,,,,
,Osteoarthritis,,Misc,N/A,Osteoarthritis,,,,,,,,,,,
,Other Answer,,Misc,N/A,Other,,,,,,,,,,,
,Other abortion procedures,,Procedure,N/A,Other,,,,,,,,,,,
,Other acute illness,,Misc,N/A,Other acute illness,,,,,,,,,,,
,Other Invasive Carcinoma (Specify),,Misc,N/A,Other Invasive Carcinoma (Specify),,,,,,,,,,,
,Other multiple births all liveborn,,Misc,N/A,Other multiple births all liveborn,,,,,,,,,,,
,Other multiple births some liveborn,,Misc,N/A,Other multiple births some liveborn,,,,,,,,,,,
,Ovarian Cystectomy,,Procedure,N/A,,,,,,,,,,,,
,"PAC Cause, Medical abortion",,Misc,N/A,Medical abortion,,,,,,,,,,,
,"PAC Cause, Spontaneous abortion",,Misc,N/A,Spontaneous abortion,,,,,,,,,,,
,"PAC Cause, Surgical abortion",,Misc,N/A,Surgical abortion,,,,,,,,,,,
,Paclitaxel,,Misc,N/A,Paclitaxel,,,,,,,,,,,
,Pain,,Misc,N/A,,,,,,,,,,,,
,Pain Due To Other Illness,,Misc,N/A,Pain Due To Other Illness,,,,,,,,,,,
,Palatoplasty,,Procedure,N/A,,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
,Palliative,,Misc,N/A,Palliative,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,,,,,,,,,,,
,Palpitations,,Misc,N/A,,,,,,,,,,,,
,Panhysterectomy,,Procedure,N/A,,,,,,,,,,,,
,Paranoia,,Misc,N/A,,,,,,,,,,,,
,Parasthesias,,Misc,N/A,,,,,,,,,,,,
,Paroxysmal nocturnal dyspnea,,Misc,N/A,Paroxysmal nocturnal dyspnea,,,,,,,,,,,
,Partial,,Misc,N/A,Partial,,,,,,,,,,,
,Partial Nephrectomy,,Misc,N/A,Partial Nephrectomy,,,,,,,,,,,
,Patient S/P Surgical Resection,,Misc,N/A,Patient S/P Surgical Resection,,,,,,,,,,,
,Paucibacillary Leprosy,,Misc,N/A,PB,,,,,,,,,,,
,Penicillin,,Misc,N/A,Penicillin,,,,,,,,,,,
,Performance,,Misc,N/A,,,,,,,,,,,,
,Pericardial,,Misc,N/A,Pericardial,,,,,,,,,,,
,Pericarditis,,Misc,N/A,,,,,,,,,,,,
,Peripartum C'mpathy,,Misc,N/A,Peripartum C'mpathy,,,,,,,,,,,
,Peritoneal,,Misc,N/A,Peritoneal,,,,,,,,,,,
,Peritoneal Toilet,,Procedure,N/A,,,,,,,,,,,,
,Periumbilical,,Misc,N/A,Periumbilical,,,,,,,,,,,
,Personal History of Atopic Disease,,Misc,N/A,Personal history of atopic disease,,,,,,,,,,,
,Petechial,,Misc,N/A,,,,,,,,,,,,
,Pills,,Misc,N/A,Pills,,,,,,,,,,,
,Pleural,,Misc,N/A,Pleural,,,,,,,,,,,
,pN0,,Misc,N/A,pN0,,,,,,,,,,,
,pN1,,Misc,N/A,pN1,,,,,,,,,,,
,pN2,,Misc,N/A,pN2,,,,,,,,,,,
,pN3,,Misc,N/A,pN3,,,,,,,,,,,
,PND,,Misc,N/A,PND,,,,,,,,,,,
,Police Case,,Misc,N/A,Police Case,,,,,,,,,,,
,Polycystic Kidney,,Misc,N/A,Polycystic Kidney,,,,,,,,,,,
,Polydypsia,,Misc,N/A,Polydypsia,,,,,,,,,,,
,Polypectomy,,Procedure,N/A,,,,,,,,,,,,
,Polyuria,,Misc,N/A,Polyuria,,,,,,,,,,,
,Positive,,Misc,N/A,,,,,,,,,,,,
,Post Viral Tussive Syndrome,,Misc,N/A,Post viral tussive syndrome,,,,,,,,,,,
,Post-Operative / Palliative Chemotherapy,,Misc,N/A,Post-Operative / Palliative Chemotherapy,,,,,,,,,,,
,Post-Operative Chemotherapy,,Misc,N/A,Post-Operative Chemotherapy,,,,,,,,,,,
,Posterior Sagittal Anorectoplasty,,Procedure,N/A,PSARP,,,,,,,,,,,
,Postnasal Drip Syndrome,,Misc,N/A,Postnasal drip syndrome,,,,,,,,,,,
,PR-,,Misc,N/A,PR-,,,,,,,,,,,
,PR+,,Misc,N/A,PR+,,,,,,,,,,,
,Pre-Operative Chemotherapy,,Misc,N/A,Pre-Operative Chemotherapy,,,,,,,,,,,
,Prednisone,,Misc,N/A,Prednisone,,,,,,,,,,,
,Pregnancy,,Misc,N/A,Pregnancy,,,,,,,,,,,
,Prehypertension,,Misc,N/A,Prehypertension,,,,,,,,,,,
,Pressure,,Misc,N/A,,,,,,,,,,,,
,Primary Renal Disease,,Misc,N/A,Primary Renal Disease,,,,,,,,,,,
,Prostatectomy,,Procedure,N/A,,,,,,,,,,,,
,Pruritus,,Misc,N/A,,,,,,,,,,,,
,Psoriatic Arthritis,,Misc,N/A,Psoriatic Arthritis,,,,,,,,,,,
,Pulmonary,,Misc,N/A,Pulmonary,,,,,,,,,,,
,Pulmonary Embolism,,Misc,N/A,Pulmonary embolism,,,,,,,,,,,
,Pure Neurotic,,Misc,N/A,PAN,,,,,,,,,,,
,Purpura,,Misc,N/A,,,,,,,,,,,,
,Pyelolithotomy,,Procedure,N/A,,,,,,,,,,,,
,Pyloromyotomy,,Procedure,N/A,,Ramstedt Operation,,,,,,,,,,
,Pylorus,,Misc,N/A,Pylorus,,,,,,,,,,,
,Pyrazinamide,,Misc,N/A,Z,,,,,,,,,,,
,Radiating,,Misc,N/A,,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,,,,,,,,,,,
,Ragged,,Misc,N/A,Ragged,,,,,,,,,,,
,Raised,,Misc,N/A,Raised,,,,,,,,,,,
,Reactive Arthritis,,Misc,N/A,Reactive Arthritis,,,,,,,,,,,
,Recent illness,,Misc,N/A,Recent illness,,,,,,,,,,,
,Red eyes,,Misc,N/A,,,,,,,,,,,,
,Reduced Exercise Tolerance,,Misc,N/A,,,,,,,,,,,,
,Referred out,,Misc,N/A,Referred out,,,,,,,,,,,
,Regular,,Misc,N/A,,,,,,,,,,,,
,Regular follow up,,Misc,N/A,,,,,,,,,,,,
,Relapse,,Misc,N/A,Relapse,,,,,,,,,,,
,Related Lymphoma,,Misc,N/A,Related Lymphoma,,,,,,,,,,,
,Related Neuropathy,,Misc,N/A,Related Neuropathy,,,,,,,,,,,
,Renal,,Misc,N/A,Renal,,,,,,,,,,,
,Renal Artery Stenosis,,Misc,N/A,Renal Artery Stenosis,,,,,,,,,,,
,Renal Masses,,Misc,N/A,Renal Masses,,,,,,,,,,,
,Renovascular Disease,,Misc,N/A,Renovascular Disease,,,,,,,,,,,
,Reported Weight Loss greater than 10 percent,,Misc,N/A,Reported weight loss > 10%,,,,,,,,,,,
,Requiring laparotomy,,Finding,N/A,Requiring laparotomy,,,,,,,,,,,
,Resectable Disease (Stage I-III),,Misc,N/A,Resectable Disease (Stage I-III),,,,,,,,,,,
,Resectable/Curable Disease,,Misc,N/A,Resectable/Curable Disease,,,,,,,,,,,
,Restless/ Irritable,,Misc,N/A,,,,,,,,,,,,
,Results Pending,,Misc,N/A,P,,,,,,,,,,,
,Retained,,Misc,N/A,Retained,,,,,,,,,,,
,RF Negative,,Misc,N/A,RF Negative,,,,,,,,,,,
,RF Positive,,Misc,N/A,RF Positive,,,,,,,,,,,
,Rhinitis,,Misc,N/A,Rhinitis,,,,,,,,,,,
,Rhinosinositis,,Misc,N/A,Rhinosinositis,,,,,,,,,,,
,Rifampicin,,Misc,N/A,R,,,,,,,,,,,
,Right Side,,Misc,N/A,Right Side,,,,,,,,,,,
,ROM,,Misc,N/A,,,,,,,,,,,,
,S/P Chemotherapy,,Misc,N/A,S/P Chemotherapy,,,,,,,,,,,
,S/P Radiotherapy,,Misc,N/A,S/P Radiotherapy,,,,,,,,,,,
,S/P Surgery,,Misc,N/A,S/P Surgery,,,,,,,,,,,
,Salbutamol,,Misc,N/A,Salbutamol,,,,,,,,,,,
,Salpingoophorectomy,,Procedure,N/A,,,,,,,,,,,,
,Same,,Misc,N/A,,,,,,,,,,,,
,Sarcoidosis,,Misc,N/A,Sarcoidosis,,,,,,,,,,,
,"Second Degree Perineal Laceration, with Delivery",,Misc,N/A,Second Degree Laceration,,,,,,,,,,,
,Seizures,,Misc,N/A,,,,,,,,,,,,
,Self Reported,,Misc,N/A,Self Reported,,,,,,,,,,,
,Send to ER,,Misc,N/A,Send to ER,,,,,,,,,,,
,Septic Abortion,,Misc,N/A,Septic Abortion,,,,,,,,,,,
,Severe,,Misc,N/A,,,,,,,,,,,,
,Severe and larger than 10mm,,Misc,N/A,,,,,,,,,,,,
,Severe chest indrawing,,Misc,N/A,,,,,,,,,,,,
,Severe Exacerbation,,Misc,N/A,Severe Exacerbation,,,,,,,,,,,
,Severity classification NYHA - Class I,,Misc,N/A,Severity classification NYHA - Class I,,,,,,,,,,,
,Severity classification NYHA - Class II,,Misc,N/A,Severity classification NYHA - Class II,,,,,,,,,,,
,Severity classification NYHA - Class III,,Misc,N/A,Severity classification NYHA - Class III,,,,,,,,,,,
,Severity classification NYHA - Class VI,,Misc,N/A,Severity classification NYHA - Class VI,,,,,,,,,,,
,Sexual Dysfunction,,Misc,N/A,Sexual Dysfunction,,,,,,,,,,,
,Sharp,,Misc,N/A,,,,,,,,,,,,
,Shortness of Breath,,Misc,N/A,Shortness of Breath,,,,,,,,,,,
,Shoulder Presentation,,Misc,N/A,Shoulder,,,,,,,,,,,
,Sigmoid,,Misc,N/A,Sigmoid,,,,,,,,,,,
,Sigmoid Loop Colostomy,,Procedure,N/A,,,,,,,,,,,,
,Sigmoidectomy,,Procedure,N/A,,,,,,,,,,,,
,Silo pouch stoma,,Procedure,N/A,,,,,,,,,,,,
,Single live birth,,Misc,N/A,Single live birth,,,,,,,,,,,
,Single stillbirth,,Misc,N/A,Single stillbirth,,,,,,,,,,,
,Sistrunk Procedure,,Procedure,N/A,,,,,,,,,,,,
,Sitting,,Misc,N/A,,,,,,,,,,,,
,Skeletal,,Misc,N/A,Skeletal,,,,,,,,,,,
,Skilled Birth Attendant,,Misc,N/A,SBA,,,,,,,,,,,
,Sleep Changes,,Misc,N/A,,,,,,,,,,,,
,Sleep Deprivation,,Misc,N/A,Sleep deprivation,,,,,,,,,,,
,Slit Skin Positive,,Misc,N/A,Slit Skin Positive,,,,,,,,,,,
,Slowly,,Misc,N/A,,,,,,,,,,,,
,Small And Echogenic Kidneys,,Misc,N/A,Small And Echogenic Kidneys,,,,,,,,,,,
,Smoking,,Misc,N/A,,,,,,,,,,,,
,Snodgrass Urethroplasty,,Procedure,N/A,,,,,,,,,,,,
,SOB,,Misc,N/A,,,,,,,,,,,,
,Some,,Misc,N/A,,,,,,,,,,,,
,Sometimes,,Misc,N/A,Sometimes,,,,,,,,,,,
,Sore Throat,,Misc,N/A,,,,,,,,,,,,
,Spinal Anesthesia,,Misc,N/A,SA,,,,,,,,,,,
,Spironolactone,,Misc,N/A,Spironolactone,,,,,,,,,,,
,Spontaneous abortion,,Misc,N/A,Spontaneous abortion,,,,,,,,,,,
,Spontaneous Vaginal Delivery,,Misc,N/A,Spontaneous Vaginal Delivery,,,,,,,,,,,
,Spoon,,Misc,N/A,,,,,,,,,,,,
,Sputum,,Misc,N/A,Sputum,,,,,,,,,,,
,Squamous Cell Carcinoma,,Misc,N/A,Squamous Cell Carcinoma,,,,,,,,,,,
,Stable,,Misc,N/A,Stable,,,,,,,,,,,
,Stage 0,,Misc,N/A,0,,,,,,,,,,,
,Stage 1,,Misc,N/A,Stage 1,,,,,,,,,,,
,Stage 2,,Misc,N/A,Stage 2,,,,,,,,,,,
,Stage 3,,Misc,N/A,Stage 3,,,,,,,,,,,
,Stage G2 Or Worse,,Misc,N/A,Stage G2 Or Worse,,,,,,,,,,,
,Stage I,,Misc,N/A,I,,,,,,,,,,,
,Stage I0,,Misc,N/A,0,,,,,,,,,,,
,Stage I1,,Misc,N/A,1,,,,,,,,,,,
,Stage IA,,Misc,N/A,IA,,,,,,,,,,,
,Stage IB,,Misc,N/A,IB,,,,,,,,,,,
,Stage II,,Misc,N/A,II,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIA,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IIB,,,,,,,,,,,
,Stage III,,Misc,N/A,III,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IIIA,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIIB,,,,,,,,,,,
,Stage IIIC,,Misc,N/A,IIIC,,,,,,,,,,,
,Stage IV,,Misc,N/A,IV,,,,,,,,,,,
,Stage IVA,,Misc,N/A,IVA,,,,,,,,,,,
,Stage IVB,,Misc,N/A,IVB,,,,,,,,,,,
,Stage S0,,Misc,N/A,0,,,,,,,,,,,
,Stage S1,,Misc,N/A,1,,,,,,,,,,,
,Stage T0,,Misc,N/A,0,,,,,,,,,,,
,Stage T1,,Misc,N/A,1,,,,,,,,,,,
,Stage V,,Misc,N/A,V,,,,,,,,,,,
,Standing at work,,Misc,N/A,Standing at work,,,,,,,,,,,
,Statin,,Misc,N/A,Statin,,,,,,,,,,,
,Status Quo,,Misc,N/A,S,,,,,,,,,,,
,Stenting / bypass history,,Misc,N/A,Stenting / bypass history,,,,,,,,,,,
,Steroid,,Misc,N/A,Steroid,,,,,,,,,,,
,Stiff neck,,Misc,N/A,,,,,,,,,,,,
,Stiffness,,Misc,N/A,,,,,,,,,,,,
,Streptomycin,,Misc,N/A,S,,,,,,,,,,,
,Stress,,Misc,N/A,Stress,,,,,,,,,,,
,Strider,,Misc,N/A,,,,,,,,,,,,
,Stroke,,Misc,N/A,Stroke,,,,,,,,,,,
,Sulfonuria,,Misc,N/A,Sulfonuria,,,,,,,,,,,
,Superclavicular,,Misc,N/A,Superclavicular,,,,,,,,,,,
,Superficial Parotidectomy,,Procedure,N/A,,,,,,,,,,,,
,Supine,,Misc,N/A,,,,,,,,,,,,
,Suprapubic Catheter Insertion,,Procedure,N/A,SPC,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,,,,,,,,,,,
,Swelling,,Misc,N/A,,,,,,,,,,,,
,Syetematic Rheumatic Diseases,,Misc,N/A,Syetematic Rheumatic Diseases,,,,,,,,,,,
,Symptoms of Hypoglycemia,,Misc,N/A,Symptoms of Hypoglycemia,,,,,,,,,,,
,T0 Tumor Stage,,Misc,N/A,T0,,,,,,,,,,,
,T1 Tumor Stage,,Misc,N/A,T1,,,,,,,,,,,
,T2 Tumor Stage,,Misc,N/A,T2,,,,,,,,,,,
,T3 Tumor Stage,,Misc,N/A,T3,,,,,,,,,,,
,T4 Tumor Stage,,Misc,N/A,T4,,,,,,,,,,,
,Tamoxifen,,Misc,N/A,Tamoxifen,,,,,,,,,,,
,Td4 Tumor Stage,,Misc,N/A,Td4,,,,,,,,,,,
,Tender swelling behind the ear,,Misc,N/A,,,,,,,,,,,,
,Tenesmus,,Misc,N/A,,,,,,,,,,,,
,"Third Degree Perineal Laceration, with Delivery",,Misc,N/A,Third Degree Laceration,,,,,,,,,,,
,Three,,Misc,N/A,Three,,,,,,,,,,,
,Thrust/Yeast,,Misc,N/A,Thrust/Yeast,,,,,,,,,,,
,Tingling,,Misc,N/A,Tingling,,,,,,,,,,,
,Tinnitus,,Misc,N/A,,,,,,,,,,,,
,Tis Tumor Stage,,Misc,N/A,Tis,,,,,,,,,,,
,Tobacco,,Misc,N/A,,,,,,,,,,,,
,Tonsillar Hypertrophy,,Misc,N/A,Tonsillar hypertrophy,,,,,,,,,,,
,Total Abdominal Hysterectomy,,Procedure,N/A,TAH,,,,,,,,,,,
,Total Nephrectomy,,Misc,N/A,Total Nephrectomy,,,,,,,,,,,
,Transferred Out,,Misc,N/A,,,,,,,,,,,,
,"Treated at, Home",,Misc,N/A,"Treated at, Home",,,,,,,,,,,
,"Treated at, Inpatient",,Misc,N/A,"Treated at, Inpatient",,,,,,,,,,,
,Treatment After Default,,Misc,N/A,Default Case,,,,,,,,,,,
,Treatment After Failure,,Misc,N/A,Failure of ATT,,,,,,,,,,,
,Treatment After Relapse,,Misc,N/A,Relapse after successful ATT,,,,,,,,,,,
,Treatment Complete,,Misc,N/A,Treatment Completed,,,,,,,,,,,
,Treatment Default,,Misc,N/A,Defaulted,,,,,,,,,,,
,Treatment Failure,,Misc,N/A,Failure of Treatment,,,,,,,,,,,
,Treatment Not Continued,,Misc,N/A,Treatment Not Continued,,,,,,,,,,,
,Trouble Swallowing,,Misc,N/A,,,,,,,,,,,,
,Tubectomy,,Procedure,N/A,,,,,,,,,,,,
,Tuberculoid,,Misc,N/A,TT,,,,,,,,,,,
,Tubulointerstitial Diseases,,Misc,N/A,Tubulointerstitial Diseases,,,,,,,,,,,
,Tumor,,Misc,N/A,Tumor,,,,,,,,,,,
,Tumors,,Misc,N/A,,,,,,,,,,,,
,Twins both liveborn,,Misc,N/A,Twins both liveborn,,,,,,,,,,,
,Twins both stillborn,,Misc,N/A,Twins both stillborn,,,,,,,,,,,
,Twins one liveborn and one stillborn,,Misc,N/A,Twins one liveborn and one stillborn,,,,,,,,,,,
,Two,,Misc,N/A,Two,,,,,,,,,,,
,TX Tumor Stage,,Misc,N/A,TX,,,,,,,,,,,
,Type 1 DM,,Misc,N/A,Type 1 DM,,,,,,,,,,,
,Type 2 DM,,Misc,N/A,Type 2 DM,,,,,,,,,,,
,Ulcers,,Misc,N/A,,,,,,,,,,,,
,Umbilicus infection to skin,,Misc,N/A,,,,,,,,,,,,
,Umbilicus red,,Misc,N/A,,,,,,,,,,,,
,Unable to drink,,Misc,N/A,,,,,,,,,,,,
,Unable to feed,,Misc,N/A,,,,,,,,,,,,
,Unexpected,,Misc,N/A,Unexpected,,,,,,,,,,,
,Unexplained Fever,,Misc,N/A,Unexplained Fever,,,,,,,,,,,
,Unknown,,Misc,N/A,Unknown,,,,,,,,,,,
,uptitrate medicine as below,,Misc,N/A,uptitrate medicine as below,,,,,,,,,,,
,Ureterolithotomy,,Procedure,N/A,,,,,,,,,,,,
,Urethroplasty,,Procedure,N/A,,,,,,,,,,,,
,Urinary Disease,,Misc,N/A,Urinary Disease,,,,,,,,,,,
,Uterine or Intra-abdominal injury,,Finding,N/A,Uterine or Intra-abdominal injury,,,,,,,,,,,
,Vaginal / Penile Discharge,,Misc,N/A,,,,,,,,,,,,
,Valvular disease,,Misc,N/A,Valvular disease,,,,,,,,,,,
,Valvular Heart Disease,,Misc,N/A,Valvular Heart Disease,,,,,,,,,,,
,Vascular Diseases,,Misc,N/A,Vascular Diseases,,,,,,,,,,,
,Very low weight,,Misc,N/A,,,,,,,,,,,,
,Very Slowly,,Misc,N/A,,,,,,,,,,,,
,Vesicostomy,,Procedure,N/A,,Suprapubic Cystostomy,Epicystostomy,,,,,,,,,
,Viginal / Penile Discharge,,Misc,N/A,,,,,,,,,,,,
,Vincristine/Actinomycin D,,Misc,N/A,Vincristine/Actinomycin D,,,,,,,,,,,
,Vincristine/Actinomycin D/Doxorubicin,,Misc,N/A,Vincristine/Actinomycin D/Doxorubicin,,,,,,,,,,,
,Viral Cardiomyopathy,,Misc,N/A,Viral Cardiomyopathy,,,,,,,,,,,
,Visual Changes,,Misc,N/A,,,,,,,,,,,,
,Vivex,,Misc,N/A,,,,,,,,,,,,
,Vomiting,,Misc,N/A,Vomiting,,,,,,,,,,,
,Vomiting all,,Misc,N/A,,,,,,,,,,,,
,Weakness,,Misc,N/A,,,,,,,,,,,,
,Weakness / Facial Droop,,Misc,N/A,Weakness / Facial Droop,,,,,,,,,,,
,Weight Loss,,Misc,N/A,Weight Loss,,,,,,,,,,,
,Wertheim's Hysterectomy,,Procedure,N/A,,,,,,,,,,,,
,Wheeze,,Misc,N/A,,,,,,,,,,,,
,Wheezing,,Misc,N/A,Wheezing,,,,,,,,,,,
,Wide Local Excision,,Procedure,N/A,WLE,,,,,,,,,,,
,Worse,,Misc,N/A,,,,,,,,,,,,
,Worsened Comorbid Illness,,Misc,N/A,Worsened Comorbid Illness,,,,,,,,,,,
,Worsening Hypertension,,Misc,N/A,Worsening Hypertension,,,,,,,,,,,
,Worsening valvular disease,,Misc,N/A,Worsening valvular disease,,,,,,,,,,,
,Worst in Life,,Misc,N/A,Worst in Life,,,,,,,,,,,
,Wound,,Misc,N/A,,,,,,,,,,,,
,Yes,,Misc,N/A,Yes,,,,,,,,,,,
,Zero,,Misc,N/A,Zero,,,,,,,,,,,
,Nodules,,Misc,N/A,,,,,,,,,,,,
,Sunken eyes,,Misc,N/A,,,,,,,,,,,,
,Community,,Misc,N/A,,,,,,,,,,,,
,Private Health Facility,,Misc,N/A,,,,,,,,,,,,
,Contact Tracing,,Misc,N/A,,,,,,,,,,,,
,Category I,,Misc,N/A,,,,,,,,,,,,
,Category II,,Misc,N/A,,,,,,,,,,,,
,Category III,,Misc,N/A,,,,,,,,,,,,
,Treatment After Failure Category I,,Misc,N/A,Treatment after failure Cat I,,,,,,,,,,,
,Treatment After Failure Category II,,Misc,N/A,Treatment after failure Cat II,,,,,,,,,,,
,Transfer In,,Misc,N/A,,,,,,,,,,,,
,Still Under Treatment,,Misc,N/A,,,,,,,,,,,,
,Asymptomatic,,Misc,N/A,,,,,,,,,,,,
